dt,AverageTemperature,AverageTemperatureUncertainty,Country
1816-06-01,28.163,2.218,India
1816-07-01,25.06,1.475,India
1816-08-01,24.84800000000001,1.015,India
1816-09-01,23.977,0.993,India
1816-10-01,21.404,5.186,India
1816-11-01,18.967,6.089,India
1816-12-01,15.813,1.524,India
1817-01-01,15.916,4.174,India
1817-02-01,18.828,2.39,India
1817-03-01,22.551,1.555,India
1817-04-01,27.052,1.745,India
1817-05-01,28.28,1.945,India
1817-06-01,27.135,1.569,India
1817-07-01,25.614,1.664,India
1817-08-01,25.669,1.561,India
1817-09-01,23.313,2.474,India
1817-10-01,21.903,2.403,India
1817-11-01,19.313,2.148,India
1817-12-01,15.572,2.697,India
1818-01-01,16.076,3.074,India
1818-02-01,18.023,1.706,India
1818-03-01,23.085,1.558,India
1818-04-01,27.783,4.937,India
1818-05-01,29.952,2.935,India
1818-06-01,28.889,3.725,India
1818-07-01,25.302,2.884,India
1818-08-01,24.729000000000006,1.6269999999999998,India
1818-09-01,24.058000000000003,1.452,India
1818-10-01,22.026,1.972,India
1818-11-01,19.335,4.398,India
1818-12-01,16.178,1.43,India
1819-01-01,14.385000000000002,2.081,India
1819-02-01,17.616,2.845,India
1819-03-01,22.021,5.902,India
1819-04-01,26.019,1.348,India
1819-05-01,28.662,1.219,India
1819-06-01,28.244,1.482,India
1819-07-01,25.901,1.101,India
1819-08-01,25.169,1.3969999999999998,India
1819-09-01,24.613000000000003,0.979,India
1819-10-01,23.262,1.609,India
1819-11-01,19.983,1.474,India
1819-12-01,15.968000000000002,1.24,India
1820-01-01,14.902,4.208,India
1820-02-01,17.539,1.719,India
1820-03-01,22.622,1.686,India
1820-04-01,27.626,1.238,India
1820-05-01,29.083,1.364,India
1820-06-01,28.243,1.132,India
1820-07-01,25.972,2.486,India
1820-08-01,24.849,2.171,India
1820-09-01,24.896,1.711,India
1820-10-01,22.787,1.225,India
1820-11-01,19.562,1.243,India
1820-12-01,16.008000000000006,1.888,India
1821-01-01,17.268,2.727,India
1821-02-01,19.933,3.531,India
1821-03-01,23.809,1.599,India
1821-04-01,26.623,1.283,India
1821-05-01,29.613000000000003,1.5759999999999998,India
1821-06-01,28.564,2.45,India
1821-07-01,26.174000000000003,1.744,India
1821-08-01,25.669,1.526,India
1821-09-01,24.188,1.295,India
1821-10-01,23.045,0.998,India
1821-11-01,20.411,2.299,India
1821-12-01,17.034000000000002,1.368,India
1822-01-01,17.522000000000002,2.84,India
1822-02-01,20.712,2.133,India
1822-03-01,25.528,1.5619999999999998,India
1822-04-01,27.135,1.175,India
1822-05-01,29.57,1.272,India
1822-06-01,28.46,1.3259999999999998,India
1822-07-01,26.667,1.089,India
1822-08-01,25.142000000000003,2.181,India
1822-09-01,24.52,1.653,India
1822-10-01,22.519,1.068,India
1822-11-01,19.336,1.57,India
1822-12-01,16.058,2.129,India
1823-01-01,16.882,1.567,India
1823-02-01,19.361,2.494,India
1823-03-01,23.47,1.495,India
1823-04-01,27.77,2.356,India
1823-05-01,29.427,1.344,India
1823-06-01,29.279,1.998,India
1823-07-01,26.703000000000007,1.2819999999999998,India
1823-08-01,25.16200000000001,1.381,India
1823-09-01,23.894,1.247,India
1823-10-01,23.159,1.5530000000000002,India
1823-11-01,19.397,2.925,India
1823-12-01,17.149,1.735,India
1824-01-01,17.323,1.277,India
1824-02-01,19.326,2.336,India
1824-03-01,23.737,1.4580000000000002,India
1824-04-01,27.524,1.986,India
1824-05-01,29.551,1.485,India
1824-06-01,29.33,2.513,India
1824-07-01,28.039,2.991,India
1824-08-01,25.948,1.63,India
1824-09-01,25.79,1.601,India
1824-10-01,22.748,1.503,India
1824-11-01,20.546,1.571,India
1824-12-01,18.735,2.509,India
1825-01-01,17.412000000000006,2.315,India
1825-02-01,19.554,1.504,India
1825-03-01,23.61,1.934,India
1825-04-01,27.947,2.152,India
1825-05-01,29.516,1.295,India
1825-06-01,29.196,1.137,India
1825-07-01,26.856,2.081,India
1825-08-01,25.331,1.948,India
1825-09-01,24.905,1.579,India
1825-10-01,23.159,1.633,India
1825-11-01,21.021,1.626,India
1825-12-01,17.046,1.267,India
1826-01-01,17.047,1.304,India
1826-02-01,18.351,1.895,India
1826-03-01,23.743,1.47,India
1826-04-01,27.814,2.342,India
1826-05-01,30.463,1.398,India
1826-06-01,28.352,2.172,India
1826-07-01,27.152,1.275,India
1826-08-01,25.16200000000001,1.3159999999999998,India
1826-09-01,24.969,1.881,India
1826-10-01,23.612,2.043,India
1826-11-01,21.067,1.149,India
1826-12-01,18.576,2.242,India
1827-01-01,17.875999999999998,2.532,India
1827-02-01,19.791,1.399,India
1827-03-01,24.153,1.916,India
1827-04-01,28.18,2.802,India
1827-05-01,29.563,2.334,India
1827-06-01,28.975,1.961,India
1827-07-01,27.285,1.356,India
1827-08-01,25.736,1.355,India
1827-09-01,24.674,1.172,India
1827-10-01,23.26,1.217,India
1827-11-01,21.007,1.185,India
1827-12-01,16.977,3.036,India
1828-01-01,16.118000000000002,2.725,India
1828-02-01,18.766,2.119,India
1828-03-01,23.678,1.991,India
1828-04-01,27.24,1.932,India
1828-05-01,29.547,2.206,India
1828-06-01,29.688,2.029,India
1828-07-01,27.167,1.411,India
1828-08-01,25.722,1.653,India
1828-09-01,23.899,1.162,India
1828-10-01,23.406,1.445,India
1828-11-01,20.851,1.465,India
1828-12-01,17.402,2.151,India
1829-01-01,16.815,1.529,India
1829-02-01,18.199,2.4530000000000003,India
1829-03-01,23.331,1.4240000000000002,India
1829-04-01,27.007,1.3090000000000002,India
1829-05-01,29.775,2.861,India
1829-06-01,28.769,1.994,India
1829-07-01,26.73,1.509,India
1829-08-01,25.577,1.45,India
1829-09-01,24.601,1.499,India
1829-10-01,23.758000000000003,1.759,India
1829-11-01,19.862,2.411,India
1829-12-01,16.898,3.599,India
1830-01-01,17.047,2.38,India
1830-02-01,19.756,1.6840000000000002,India
1830-03-01,23.056,1.384,India
1830-04-01,27.494,1.49,India
1830-05-01,27.903,1.915,India
1830-06-01,28.626,2.28,India
1830-07-01,27.355,1.724,India
1830-08-01,25.439,1.741,India
1830-09-01,24.538,1.864,India
1830-10-01,23.198,2.462,India
1830-11-01,21.574,1.872,India
1830-12-01,18.082,1.93,India
1831-01-01,16.565,2.079,India
1831-02-01,19.147,3.771,India
1831-03-01,23.557,2.902,India
1831-04-01,26.69,1.187,India
1831-05-01,29.921,2.44,India
1831-06-01,29.209,2.037,India
1831-07-01,26.245,1.489,India
1831-08-01,24.907,1.479,India
1831-09-01,24.056,1.3869999999999998,India
1831-10-01,22.794,1.465,India
1831-11-01,19.301,3.983,India
1831-12-01,16.508000000000006,3.141,India
1832-01-01,16.078,1.742,India
1832-02-01,18.202,2.006,India
1832-03-01,23.534,1.741,India
1832-04-01,27.598000000000003,2.881,India
1832-05-01,29.973000000000003,2.338,India
1832-06-01,,,India
1832-07-01,27.105,2.123,India
1832-08-01,25.394,2.276,India
1832-09-01,24.211,1.896,India
1832-10-01,23.036,2.079,India
1832-11-01,19.455,1.1840000000000002,India
1832-12-01,,,India
1833-01-01,16.995,2.545,India
1833-02-01,19.381,1.4509999999999998,India
1833-03-01,23.141,2.343,India
1833-04-01,26.902,1.459,India
1833-05-01,28.941,1.521,India
1833-06-01,29.161,1.851,India
1833-07-01,26.9,1.425,India
1833-08-01,25.213,1.51,India
1833-09-01,24.817,1.339,India
1833-10-01,22.958,1.412,India
1833-11-01,20.702,1.5659999999999998,India
1833-12-01,17.468,2.363,India
1834-01-01,15.609000000000002,1.725,India
1834-02-01,19.172,2.084,India
1834-03-01,23.655,2.106,India
1834-04-01,26.768,2.006,India
1834-05-01,30.234,1.429,India
1834-06-01,28.376,2.2030000000000003,India
1834-07-01,26.552,1.4069999999999998,India
1834-08-01,25.474,1.177,India
1834-09-01,25.195,1.988,India
1834-10-01,23.129,1.001,India
1834-11-01,20.486,1.759,India
1834-12-01,17.704,1.268,India
1835-01-01,16.965999999999998,2.011,India
1835-02-01,19.085,1.98,India
1835-03-01,22.397,1.135,India
1835-04-01,26.15,1.941,India
1835-05-01,28.282,1.2,India
1835-06-01,27.61,1.609,India
1835-07-01,25.674,1.487,India
1835-08-01,24.582,1.3330000000000002,India
1835-09-01,24.038,1.401,India
1835-10-01,22.62,1.061,India
1835-11-01,18.8,1.398,India
1835-12-01,15.693,1.475,India
1836-01-01,16.279,0.967,India
1836-02-01,18.658,1.4409999999999998,India
1836-03-01,22.974,1.364,India
1836-04-01,26.581,1.242,India
1836-05-01,29.178,1.681,India
1836-06-01,28.739,1.215,India
1836-07-01,26.399,1.314,India
1836-08-01,25.049,1.6880000000000002,India
1836-09-01,25.011,1.997,India
1836-10-01,23.705,3.851,India
1836-11-01,19.315,1.797,India
1836-12-01,17.222,2.086,India
1837-01-01,16.974,1.75,India
1837-02-01,19.469,1.399,India
1837-03-01,22.557,1.904,India
1837-04-01,25.811,1.412,India
1837-05-01,28.233,1.5219999999999998,India
1837-06-01,28.064,1.655,India
1837-07-01,26.407,1.122,India
1837-08-01,25.428,0.939,India
1837-09-01,25.252,1.4409999999999998,India
1837-10-01,23.036,2.075,India
1837-11-01,19.7,2.113,India
1837-12-01,17.264,3.275,India
1838-01-01,14.552,2.209,India
1838-02-01,18.164,1.283,India
1838-03-01,22.433000000000003,1.39,India
1838-04-01,27.11,1.4280000000000002,India
1838-05-01,28.662,1.124,India
1838-06-01,28.632,1.4469999999999998,India
1838-07-01,27.264000000000006,2.69,India
1838-08-01,25.756,2.44,India
1838-09-01,25.333,1.319,India
1838-10-01,23.542,2.895,India
1838-11-01,19.936,2.211,India
1838-12-01,16.930999999999997,1.958,India
1839-01-01,17.080000000000002,1.5019999999999998,India
1839-02-01,19.788,1.624,India
1839-03-01,21.856,1.68,India
1839-04-01,27.024,1.3430000000000002,India
1839-05-01,28.879,1.07,India
1839-06-01,28.301,1.165,India
1839-07-01,26.879,2.26,India
1839-08-01,25.681,1.644,India
1839-09-01,24.73,1.273,India
1839-10-01,23.599,1.702,India
1839-11-01,18.948,1.641,India
1839-12-01,16.172,2.012,India
1840-01-01,17.352999999999998,1.914,India
1840-02-01,19.266,2.051,India
1840-03-01,22.937,1.6909999999999998,India
1840-04-01,27.185,1.651,India
1840-05-01,29.242,1.71,India
1840-06-01,28.615,1.713,India
1840-07-01,27.185,0.99,India
1840-08-01,25.486,1.2009999999999998,India
1840-09-01,24.75,1.025,India
1840-10-01,23.075,1.54,India
1840-11-01,19.404,3.221,India
1840-12-01,16.844,1.19,India
1841-01-01,16.706,2.494,India
1841-02-01,19.124,1.138,India
1841-03-01,22.343000000000004,2.852,India
1841-04-01,26.193,1.596,India
1841-05-01,28.79,1.348,India
1841-06-01,28.487,1.209,India
1841-07-01,27.141,1.226,India
1841-08-01,25.486,1.628,India
1841-09-01,25.078000000000003,0.978,India
1841-10-01,22.989,1.365,India
1841-11-01,19.971,1.338,India
1841-12-01,16.820999999999998,1.745,India
1842-01-01,16.59,1.433,India
1842-02-01,19.183,1.713,India
1842-03-01,23.559,2.282,India
1842-04-01,27.206,1.459,India
1842-05-01,29.148000000000003,0.926,India
1842-06-01,28.21,1.08,India
1842-07-01,26.667,1.4069999999999998,India
1842-08-01,25.333,1.181,India
1842-09-01,24.59,1.3030000000000002,India
1842-10-01,23.055,1.293,India
1842-11-01,19.829,1.357,India
1842-12-01,17.601000000000006,1.077,India
1843-01-01,17.105,1.641,India
1843-02-01,19.783,1.541,India
1843-03-01,22.84,1.582,India
1843-04-01,26.628,1.305,India
1843-05-01,28.404,1.275,India
1843-06-01,28.228,0.965,India
1843-07-01,26.735000000000007,0.963,India
1843-08-01,25.625,1.246,India
1843-09-01,25.035,0.878,India
1843-10-01,23.177,1.147,India
1843-11-01,19.531,0.813,India
1843-12-01,16.657,2.745,India
1844-01-01,16.37,1.056,India
1844-02-01,17.971,1.624,India
1844-03-01,23.072,1.822,India
1844-04-01,26.745,1.123,India
1844-05-01,28.368,1.144,India
1844-06-01,28.341,0.843,India
1844-07-01,26.32,1.029,India
1844-08-01,25.485,2.326,India
1844-09-01,24.646,0.894,India
1844-10-01,23.156,1.013,India
1844-11-01,19.836,0.994,India
1844-12-01,16.819000000000006,1.484,India
1845-01-01,16.900000000000002,1.44,India
1845-02-01,18.51,2.085,India
1845-03-01,23.43,1.085,India
1845-04-01,26.783,1.599,India
1845-05-01,29.158,0.941,India
1845-06-01,28.252,1.067,India
1845-07-01,26.902,0.941,India
1845-08-01,25.795,0.931,India
1845-09-01,25.258000000000003,1.019,India
1845-10-01,23.05,0.994,India
1845-11-01,19.824,0.961,India
1845-12-01,16.256,1.749,India
1846-01-01,17.963,1.621,India
1846-02-01,19.517,1.028,India
1846-03-01,24.426,1.68,India
1846-04-01,26.804,1.485,India
1846-05-01,29.276,1.266,India
1846-06-01,28.723000000000003,1.979,India
1846-07-01,27.418000000000006,1.776,India
1846-08-01,26.14,1.384,India
1846-09-01,25.14,1.7,India
1846-10-01,22.828000000000003,1.218,India
1846-11-01,20.151,1.506,India
1846-12-01,17.244,1.348,India
1847-01-01,17.203,2.948,India
1847-02-01,19.184,1.797,India
1847-03-01,22.714,1.155,India
1847-04-01,27.143,1.142,India
1847-05-01,28.803,1.107,India
1847-06-01,28.256,1.32,India
1847-07-01,26.877,1.378,India
1847-08-01,25.736,1.086,India
1847-09-01,25.202,1.114,India
1847-10-01,23.179,1.108,India
1847-11-01,19.965,1.3430000000000002,India
1847-12-01,15.558000000000002,1.132,India
1848-01-01,15.931,1.7,India
1848-02-01,19.245,1.429,India
1848-03-01,22.931,0.8079999999999999,India
1848-04-01,26.672,1.183,India
1848-05-01,28.837,1.305,India
1848-06-01,27.942,1.836,India
1848-07-01,26.885,1.544,India
1848-08-01,25.693,1.262,India
1848-09-01,25.08,1.285,India
1848-10-01,23.107,1.24,India
1848-11-01,19.552,0.867,India
1848-12-01,16.855999999999998,1.182,India
1849-01-01,16.002000000000002,0.947,India
1849-02-01,18.572,1.995,India
1849-03-01,23.277,2.014,India
1849-04-01,26.931,1.744,India
1849-05-01,28.961,0.8640000000000001,India
1849-06-01,27.975,1.554,India
1849-07-01,26.631,1.065,India
1849-08-01,25.641,1.1740000000000002,India
1849-09-01,25.006,1.294,India
1849-10-01,23.396,1.518,India
1849-11-01,20.333,1.185,India
1849-12-01,15.966,1.385,India
1850-01-01,15.898,1.358,India
1850-02-01,18.741,1.758,India
1850-03-01,22.975,2.893,India
1850-04-01,26.744,1.297,India
1850-05-01,28.587,0.867,India
1850-06-01,28.79,0.902,India
1850-07-01,27.063,0.888,India
1850-08-01,26.111,1.1,India
1850-09-01,25.492,0.792,India
1850-10-01,24.488000000000003,2.35,India
1850-11-01,20.602,3.049,India
1850-12-01,16.564,1.073,India
1851-01-01,16.090999999999998,1.211,India
1851-02-01,18.646,1.266,India
1851-03-01,22.994,1.3430000000000002,India
1851-04-01,26.714,1.263,India
1851-05-01,29.508000000000003,1.035,India
1851-06-01,28.498,1.188,India
1851-07-01,26.798,1.41,India
1851-08-01,26.045,1.135,India
1851-09-01,25.681,1.038,India
1851-10-01,24.015,1.537,India
1851-11-01,19.906,1.144,India
1851-12-01,16.926000000000002,2.26,India
1852-01-01,16.816000000000006,1.927,India
1852-02-01,19.474,1.598,India
1852-03-01,22.372,1.307,India
1852-04-01,26.567,1.643,India
1852-05-01,29.053,1.48,India
1852-06-01,28.549,0.916,India
1852-07-01,26.790000000000006,1.3130000000000002,India
1852-08-01,25.687,1.091,India
1852-09-01,25.395,0.931,India
1852-10-01,23.374,1.275,India
1852-11-01,19.466,1.16,India
1852-12-01,16.997,1.922,India
1853-01-01,15.862000000000002,1.72,India
1853-02-01,18.969,2.382,India
1853-03-01,23.503,1.18,India
1853-04-01,26.995,1.385,India
1853-05-01,29.598000000000003,0.782,India
1853-06-01,29.362,0.805,India
1853-07-01,27.497,0.862,India
1853-08-01,26.145,0.926,India
1853-09-01,25.714,0.856,India
1853-10-01,23.549,0.847,India
1853-11-01,19.694000000000003,1.217,India
1853-12-01,17.097,0.805,India
1854-01-01,16.844,1.46,India
1854-02-01,18.469,1.314,India
1854-03-01,23.49,0.794,India
1854-04-01,26.871,1.636,India
1854-05-01,29.674,1.099,India
1854-06-01,28.847,1.257,India
1854-07-01,27.28,1.2,India
1854-08-01,26.168000000000006,1.268,India
1854-09-01,25.409,1.04,India
1854-10-01,24.276,1.319,India
1854-11-01,20.507,1.132,India
1854-12-01,17.274,1.761,India
1855-01-01,17.122,1.595,India
1855-02-01,19.491,1.338,India
1855-03-01,23.327,1.22,India
1855-04-01,27.919,1.514,India
1855-05-01,30.131,1.268,India
1855-06-01,28.851,1.193,India
1855-07-01,27.083,1.228,India
1855-08-01,26.16200000000001,1.178,India
1855-09-01,25.429,1.087,India
1855-10-01,23.376,1.257,India
1855-11-01,19.943,1.094,India
1855-12-01,16.271,1.755,India
1856-01-01,16.928,1.195,India
1856-02-01,19.006,1.633,India
1856-03-01,23.084,1.394,India
1856-04-01,26.949,1.088,India
1856-05-01,29.095,1.462,India
1856-06-01,28.716,1.399,India
1856-07-01,26.478,1.176,India
1856-08-01,24.847,1.742,India
1856-09-01,24.87,1.336,India
1856-10-01,22.99,1.082,India
1856-11-01,19.765,1.081,India
1856-12-01,16.776,1.324,India
1857-01-01,16.039,1.239,India
1857-02-01,18.305,1.622,India
1857-03-01,22.687,1.102,India
1857-04-01,26.196,1.136,India
1857-05-01,28.663,1.069,India
1857-06-01,27.666,1.375,India
1857-07-01,26.262,1.314,India
1857-08-01,25.531,1.104,India
1857-09-01,25.11,1.023,India
1857-10-01,22.736,1.533,India
1857-11-01,19.622,1.459,India
1857-12-01,16.757,1.388,India
1858-01-01,17.017,1.717,India
1858-02-01,18.986,1.148,India
1858-03-01,23.347,1.269,India
1858-04-01,27.872,1.3869999999999998,India
1858-05-01,29.408,1.388,India
1858-06-01,28.51,1.23,India
1858-07-01,26.404,1.252,India
1858-08-01,25.707,1.165,India
1858-09-01,25.259,1.118,India
1858-10-01,23.707,1.25,India
1858-11-01,20.666,1.283,India
1858-12-01,16.317999999999998,1.293,India
1859-01-01,16.650000000000002,1.178,India
1859-02-01,19.179,1.214,India
1859-03-01,23.664,1.283,India
1859-04-01,27.814,1.383,India
1859-05-01,29.891,1.2009999999999998,India
1859-06-01,28.818,1.24,India
1859-07-01,26.559,1.156,India
1859-08-01,25.559,1.1,India
1859-09-01,25.1,1.083,India
1859-10-01,23.766,1.199,India
1859-11-01,20.244,1.419,India
1859-12-01,16.809,1.4780000000000002,India
1860-01-01,16.324,1.177,India
1860-02-01,18.812,1.228,India
1860-03-01,22.138,1.504,India
1860-04-01,27.185,1.209,India
1860-05-01,29.518,1.136,India
1860-06-01,28.86,1.126,India
1860-07-01,26.882,1.106,India
1860-08-01,26.149,1.21,India
1860-09-01,25.839,1.181,India
1860-10-01,23.672,1.133,India
1860-11-01,19.835,1.127,India
1860-12-01,15.548000000000002,1.154,India
1861-01-01,15.27,1.3630000000000002,India
1861-02-01,18.336,1.177,India
1861-03-01,23.034,1.185,India
1861-04-01,26.995,1.252,India
1861-05-01,29.198,1.2009999999999998,India
1861-06-01,28.588,1.494,India
1861-07-01,26.642000000000003,1.346,India
1861-08-01,25.81900000000001,1.168,India
1861-09-01,25.318,1.081,India
1861-10-01,23.41,1.087,India
1861-11-01,20.327,1.406,India
1861-12-01,16.655,1.513,India
1862-01-01,15.332,1.307,India
1862-02-01,17.901,1.325,India
1862-03-01,22.746,1.196,India
1862-04-01,,,India
1862-05-01,,,India
1862-06-01,,,India
1862-07-01,,,India
1862-08-01,,,India
1862-09-01,,,India
1862-10-01,,,India
1862-11-01,,,India
1862-12-01,,,India
1863-01-01,,,India
1863-02-01,,,India
1863-03-01,,,India
1863-04-01,,,India
1863-05-01,,,India
1863-06-01,,,India
1863-07-01,,,India
1863-08-01,,,India
1863-09-01,,,India
