"index";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"Memory";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
25;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.3";22305
26;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"128GB Flash Storage";"Flash Storage";128;0;"Intel";"macos";"1.35";58555
27;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.2";42624
28;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;8;"256GB SSD +  256GB SSD";"SSD";256;256;"Intel";"windows";"1.88";69157
29;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"2.5";47739
30;"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";"Atom x5-Z8300";1.4;4;"64GB Flash Storage";"Flash Storage";64;0;"Intel";"windows";"1.89";13053
31;"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series E2-6110";1.5;2;"32GB Flash Storage";"Flash Storage";32;0;"AMD";"windows";"1.65";10603
32;"HP";"Notebook";17.3;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"500GB HDD";"HDD";500;0;"AMD";"windows";"2.71";23390
33;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Intel";"windows";"1.2";99580
34;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"256GB Flash Storage";"Flash Storage";256;0;"Intel";"macos";"1.35";53173
35;"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"64GB Flash Storage";"Flash Storage";64;0;"Intel";"windows";"1.44";13267
36;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.7;4;"1TB HDD";"HDD";1024;0;"Intel";"linux";"2.1";19554
37;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"AMD";"windows";"2.8";52161
38;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"1.86";26037
39;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"2.1";46833
40;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Intel";"linux";"2";20726
41;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";"2.65";79867
42;"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"1TB HDD";"HDD";1024;0;"Nvidia";"linux";"2.3";27865
43;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"256GB SSD";"SSD";256;0;"Intel";"windows";"2.2";36337
44;"Dell";"2 in 1 Convertible";17.3;1920;1080;1;"Intel";"Core i5";1.6;12;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"2.77";53227
45;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.0;8;"256GB SSD";"SSD";256;0;"Intel";"macos";"1.37";75604
47;"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;8;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"AMD";"windows";"3.2";69211
48;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.3";34046
49;"Asus";"Notebook";17.3;1366;768;0;"Intel";"Pentium Quad";1.1;4;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"2.8";24828
51;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"2.2";44808
52;"HP";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"256GB SSD";"SSD";256;0;"AMD";"windows";"1.86";21232
53;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"512GB SSD";"SSD";512;0;"Intel";"windows";"1.49";58768
54;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.4";20460
55;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.13";40908
56;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"128GB SSD";"SSD";128;0;"Intel";"windows";"1.91";23390
57;"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"256GB SSD";"SSD";256;0;"Intel";"windows";"2";31232
58;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"256GB SSD +  2TB HDD";"Hybrid";256;2048;"Nvidia";"windows";"2.43";130483
59;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"256GB SSD";"SSD";256;0;"Intel";"linux";"2";22111
60;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"256GB SSD +  2TB HDD";"Hybrid";256;2048;"AMD";"windows";"2.8";69211
61;"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.7";46833
62;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";2.7;8;"256GB SSD";"SSD";256;0;"Intel";"N/A";"1.7";31915
63;"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.4";50136
64;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.86";36763
65;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"512GB SSD";"SSD";512;0;"Nvidia";"windows";"1.8";105654
66;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"500GB HDD";"HDD";500;0;"AMD";"windows";"1.86";23373
67;"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.6;4;"32GB SSD";"SSD";32;0;"Intel";"windows";"1.44";12201
68;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"1.9";29251
69;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;12;"1TB HDD";"HDD";1024;0;"Nvidia";"linux";"3";50563
70;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;4;"128GB SSD";"SSD";128;0;"Intel";"windows";"1.252";58022
71;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;64;"256GB SSD";"SSD";256;0;"AMD";"windows";"1.4";50882
72;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.2";46354
73;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"2.7";58342
74;"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.0;8;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.1";20726
75;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"2.2";50563
76;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"2TB HDD";"HDD";2048;0;"Intel";"N/A";"2.2";27652
77;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Intel";"windows";"2.02";45554
78;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"2.2";28238
79;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"2.5";52055
80;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.88";58403
81;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";1.3;8;"512GB SSD";"SSD";512;0;"Intel";"macos";"0.92";80453
82;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.63";45821
83;"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"128GB SSD";"SSD";128;0;"AMD";"windows";"2.2";21259
84;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"1TB HDD";"HDD";1024;0;"AMD";"windows";"2.1";21046
85;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"2.65";71875
86;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"1.83";37243
87;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.96";31914
88;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"2.2";77203
89;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.21";87859
90;"Asus";"Gaming";15.6;1920;1080;0;"AMD";"FX 9830P";3.0;8;"1TB HDD";"HDD";1024;0;"AMD";"windows";"2.45";37243
91;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;2;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"2.2";36710
92;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Intel";"windows";"1.49";63776
93;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"2.65";63670
94;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.25";55891
95;"Acer";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.5";45128
96;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"1TB HDD";"HDD";1024;0;"AMD";"linux";"2.2";31963
97;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"256GB SSD";"SSD";256;0;"AMD";"linux";"2.2";25841
98;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;6;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"2";30743
99;"HP";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;12;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"2.62";66547
100;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"AMD";"windows";"1.91";38308
101;"HP";"Notebook";15.6;1920;1080;0;"AMD";"E-Series E2-9000e";1.5;4;"500GB HDD";"HDD";500;0;"AMD";"windows";"2.1";18595
102;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"1TB HDD";"HDD";1024;0;"AMD";"linux";"2.2";34472
103;"HP";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"1.38";59620
104;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.252";71395
105;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;6;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"1.58";35112
106;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"1.85";22106
107;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"1.3";63563
108;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";"2.2";69211
109;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.58";78854
110;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";"1.5";67239
111;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";2.4;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.23";73473
112;"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.37";74539
113;"HP";"Notebook";14.0;1366;768;0;"Intel";"Core i5";1.6;4;"500GB HDD";"HDD";500;0;"Intel";"windows";"1.63";38468
114;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.21";86793
116;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"512GB SSD";"SSD";512;0;"Intel";"windows";"1.63";57756
117;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";"2.16";60224
118;"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"2";30050
119;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"1.7";59567
120;"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i3";2.4;6;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.1";25521
121;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"256GB SSD +  2TB HDD";"Hybrid";256;2048;"Nvidia";"windows";"1.8";119427
122;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Nvidia";"N/A";"2.2";33513
123;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Nvidia";"windows";"2.5";67719
124;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.1";24029
126;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"1TB HDD";"HDD";1024;0;"Intel";"windows";"1.63";43263
127;"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series 6110";1.5;4;"64GB SSD";"SSD";64;0;"AMD";"windows";"1.65";14811
128;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"256GB SSD +  2TB HDD";"Hybrid";256;2048;"AMD";"windows";"2.8";74379
129;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"2.5";49444
130;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"1TB HDD";"HDD";1024;0;"AMD";"windows";"2.36";34045
131;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"AMD";"windows";"2.2";23923
132;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.6";47100
133;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"7.2";30476
134;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.7;8;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.05";31861
135;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.63";52641
136;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"1TB HDD";"HDD";1024;0;"Intel";"N/A";"1.9";13446
137;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"3";49977
138;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"1TB HDD";"HDD";1024;0;"Nvidia";"N/A";"2.2";26587
139;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";2.5;4;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.32";37243
140;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";"3";34898
141;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"AMD";"windows";"1.75";59462
142;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"256GB SSD";"SSD";256;0;"Nvidia";"N/A";"2.4";46300
143;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.3;4;"500GB HDD";"HDD";500;0;"Intel";"windows";"2.1";32075
144;"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.5;4;"256GB SSD";"SSD";256;0;"AMD";"windows";"1.86";19660
145;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.25";58555
146;"HP";"Ultrabook";12.5;3840;2160;1;"Intel";"Core M";1.2;8;"512GB SSD";"SSD";512;0;"Intel";"windows";"0.97";107306
147;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2";18328
149;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.1";23816
150;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"512GB SSD";"SSD";512;0;"Nvidia";"windows";"2.56";66561
151;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"1.0TB Hybrid";"Hybrid";1024;0;"Nvidia";"windows";"2.62";47899
152;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"128GB SSD";"SSD";128;0;"Intel";"windows";"1.9";26533
153;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";"2.8";100699
154;"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";2.7;4;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.48";57649
155;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;6;"256GB SSD";"SSD";256;0;"AMD";"windows";"1.91";32980
156;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";"Core i3";2.4;4;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.74";33513
157;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.1";70063
158;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.56";55891
159;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.2;4;"500GB HDD";"HDD";500;0;"Intel";"windows";"2.1";23816
160;"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"1TB HDD";"HDD";1024;0;"AMD";"windows";"2.03";21472
161;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;4;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"3";42890
162;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.13";38788
163;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"2.5";57489
164;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.1";18541
165;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";"2.4";95851
166;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.1";19368
167;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"2.56";56503
168;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"3";45501
169;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"500GB HDD";"HDD";500;0;"Intel";"windows";"1.49";40173
170;"Huawei";"Ultrabook";13.0;2160;1440;0;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.05";71875
171;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";2.5;6;"2TB HDD";"HDD";2048;0;"AMD";"windows";"2.71";37243
172;"Lenovo";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.9;4;"500GB HDD";"HDD";500;0;"AMD";"N/A";"2.2";16464
173;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"500GB HDD";"HDD";500;0;"Intel";"windows";"5.4";26054
174;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";"2.5";49177
175;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;8;"1TB HDD";"HDD";1024;0;"Intel";"windows";"2.3";24456
176;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"128GB SSD";"SSD";128;0;"Intel";"windows";"2.1";23923
177;"MSI";"Gaming";18.4;1920;1080;0;"Intel";"Core i7";2.9;32;"512GB SSD +  1TB HDD";"Hybrid";512;1024;"Nvidia";"windows";"4.4";149131
