"level_0";"index";"Airline";"Date_of_Journey";"Source";"Destination";"Dep_Time";"Duration";"Total_Stops";"Additional_Info";"Price";"departure";"duration_mins";"arrival"
55;55;"Air India";"2019-01-03";"Banglore";"New Delhi";"6:10";"2h 45m";"non-stop";"No info";15676;"2019-01-03 06:10:00";165;"2019-01-03 08:55:00"
56;56;"Air India";"2019-01-03";"Banglore";"New Delhi";"9:30";"14h 15m";"1 stop";"No info";12704;"2019-01-03 09:30:00";855;"2019-01-03 23:45:00"
57;57;"Air India";"2019-01-03";"Banglore";"New Delhi";"17:00";"19h 15m";"1 stop";"No info";10246;"2019-01-03 17:00:00";1155;"2019-01-04 12:15:00"
58;58;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"7:00";"13h 20m";"1 stop";"No info";27992;"2019-01-03 07:00:00";800;"2019-01-03 20:20:00"
59;59;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"22h 30m";"1 stop";"No info";25735;"2019-01-03 22:50:00";1350;"2019-01-04 21:20:00"
60;60;"Air India";"2019-01-03";"Banglore";"New Delhi";"8:50";"25h 45m";"2 stops";"No info";31783;"2019-01-03 08:50:00";1545;"2019-01-04 10:35:00"
61;61;"Vistara";"2019-01-03";"Banglore";"New Delhi";"7:00";"2h 40m";"non-stop";"No info";21520;"2019-01-03 07:00:00";160;"2019-01-03 09:40:00"
62;62;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"27h 25m";"1 stop";"No info";13439;"2019-01-03 05:50:00";1645;"2019-01-04 09:15:00"
63;63;"IndiGo";"2019-01-03";"Kolkata";"Banglore";"17:15";"2h 40m";"non-stop";"No info";6565;"2019-01-03 17:15:00";160;"2019-01-03 19:55:00"
64;64;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"5:15";"4h 45m";"1 stop";"No Info";8064;"2019-01-03 05:15:00";285;"2019-01-03 10:00:00"
65;65;"Jet Airways Business";"2019-01-03";"Banglore";"New Delhi";"5:45";"6h 40m";"1 stop";"Business class";62427;"2019-01-03 05:45:00";400;"2019-01-03 12:25:00"
66;66;"IndiGo";"2019-01-03";"Kolkata";"Banglore";"14:20";"2h 35m";"non-stop";"No info";6565;"2019-01-03 14:20:00";155;"2019-01-03 16:55:00"
67;67;"SpiceJet";"2019-01-03";"Chennai";"Kolkata";"8:20";"2h 15m";"non-stop";"No info";7298;"2019-01-03 08:20:00";135;"2019-01-03 10:35:00"
68;68;"Vistara";"2019-01-03";"Banglore";"New Delhi";"11:30";"2h 40m";"non-stop";"No info";12648;"2019-01-03 11:30:00";160;"2019-01-03 14:10:00"
69;69;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"10h 30m";"2 stops";"Change airports";15119;"2019-01-03 05:50:00";630;"2019-01-03 16:20:00"
70;70;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:00";"7h 15m";"1 stop";"No info";22270;"2019-01-03 08:00:00";435;"2019-01-03 15:15:00"
71;71;"Air India";"2019-01-03";"Banglore";"New Delhi";"8:50";"39h 5m";"2 stops";"No info";17135;"2019-01-03 08:50:00";2345;"2019-01-04 23:55:00"
72;72;"Air India";"2019-01-03";"Banglore";"New Delhi";"10:30";"24h 50m";"1 stop";"No info";11528;"2019-01-03 10:30:00";1490;"2019-01-04 11:20:00"
73;73;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"7:10";"2h 55m";"non-stop";"No info";11934;"2019-01-03 07:10:00";175;"2019-01-03 10:05:00"
74;74;"Air India";"2019-01-03";"Banglore";"New Delhi";"13:20";"2h 50m";"non-stop";"No info";12526;"2019-01-03 13:20:00";170;"2019-01-03 16:10:00"
75;75;"Air India";"2019-01-03";"Banglore";"New Delhi";"8:50";"24h 35m";"2 stops";"No info";25430;"2019-01-03 08:50:00";1475;"2019-01-04 09:25:00"
76;76;"Vistara";"2019-01-03";"Banglore";"New Delhi";"21:10";"2h 55m";"non-stop";"No info";21730;"2019-01-03 21:10:00";175;"2019-01-04 00:05:00"
77;77;"Multiple carriers";"2019-01-03";"Delhi";"Cochin";"12:50";"6h 25m";"1 stop";"No info";36983;"2019-01-03 12:50:00";385;"2019-01-03 19:15:00"
78;78;"GoAir";"2019-01-03";"Banglore";"New Delhi";"20:55";"2h 55m";"non-stop";"No info";18558;"2019-01-03 20:55:00";175;"2019-01-03 23:50:00"
79;79;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"27h";"3 stops";"No info";13081;"2019-01-03 05:50:00";1620;"2019-01-04 08:50:00"
80;80;"Air India";"2019-01-03";"Banglore";"New Delhi";"0:30";"20h";"1 stop";"1 Long layover";14752;"2019-01-03 00:30:00";1200;"2019-01-03 20:30:00"
81;81;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:00";"8h 10m";"1 stop";"No info";22270;"2019-01-03 08:00:00";490;"2019-01-03 16:10:00"
82;82;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"18:55";"2h 50m";"non-stop";"No info";14306;"2019-01-03 18:55:00";170;"2019-01-03 21:45:00"
83;83;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"21h 20m";"1 stop";"No info";20800;"2019-01-03 14:05:00";1280;"2019-01-04 11:25:00"
84;84;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"5h 5m";"1 stop";"No info";36235;"2019-01-03 14:05:00";305;"2019-01-03 19:10:00"
85;85;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"16:15";"4h 20m";"1 stop";"No Info";7917;"2019-01-03 16:15:00";260;"2019-01-03 20:35:00"
86;86;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"5:45";"14h 35m";"1 stop";"No info";27992;"2019-01-03 05:45:00";875;"2019-01-03 20:20:00"
87;87;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"5:45";"15h 35m";"1 stop";"No info";27992;"2019-01-03 05:45:00";935;"2019-01-03 21:20:00"
88;88;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"11h 35m";"1 stop";"1 Long layover";31825;"2019-01-03 22:50:00";695;"2019-01-04 10:25:00"
89;89;"Air India";"2019-01-03";"Banglore";"New Delhi";"17:00";"15h 50m";"1 stop";"1 Long layover";10981;"2019-01-03 17:00:00";950;"2019-01-04 08:50:00"
90;90;"Air India";"2019-01-03";"Banglore";"New Delhi";"9:30";"26h 35m";"1 stop";"No info";12704;"2019-01-03 09:30:00";1595;"2019-01-04 12:05:00"
91;91;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:00";"24h 15m";"1 stop";"No info";22270;"2019-01-03 08:00:00";1455;"2019-01-04 08:15:00"
92;92;"Air India";"2019-01-03";"Banglore";"New Delhi";"11:05";"22h 10m";"1 stop";"No info";13439;"2019-01-03 11:05:00";1330;"2019-01-04 09:15:00"
93;93;"SpiceJet";"2019-01-03";"Banglore";"New Delhi";"10:20";"7h 55m";"1 stop";"No info";23267;"2019-01-03 10:20:00";475;"2019-01-03 18:15:00"
94;94;"IndiGo";"2019-01-03";"Delhi";"Cochin";"4:55";"16h 25m";"2 stops";"No info";10278;"2019-01-03 04:55:00";985;"2019-01-03 21:20:00"
95;95;"IndiGo";"2019-01-03";"Mumbai";"Hyderabad";"2:30";"1h 30m";"non-stop";"No info";16000;"2019-01-03 02:30:00";90;"2019-01-03 04:00:00"
96;96;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"16:55";"6h 5m";"1 stop";"No info";54826;"2019-01-03 16:55:00";365;"2019-01-03 23:00:00"
97;97;"SpiceJet";"2019-01-03";"Chennai";"Kolkata";"9:30";"2h 35m";"non-stop";"No info";7298;"2019-01-03 09:30:00";155;"2019-01-03 12:05:00"
98;98;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"24h 10m";"1 stop";"No info";25735;"2019-01-03 22:50:00";1450;"2019-01-04 23:00:00"
99;99;"Air India";"2019-01-03";"Banglore";"New Delhi";"22:00";"15h 20m";"1 stop";"No info";21130;"2019-01-03 22:00:00";920;"2019-01-04 13:20:00"
100;100;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:00";"10h 25m";"1 stop";"No info";26890;"2019-01-03 08:00:00";625;"2019-01-03 18:25:00"
101;101;"IndiGo";"2019-01-03";"Chennai";"Kolkata";"14:40";"2h 25m";"non-stop";"No info";7295;"2019-01-03 14:40:00";145;"2019-01-03 17:05:00"
102;102;"SpiceJet";"2019-01-03";"Banglore";"New Delhi";"9:35";"2h 55m";"non-stop";"No info";11690;"2019-01-03 09:35:00";175;"2019-01-03 12:30:00"
103;103;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"7h 15m";"1 stop";"No info";36235;"2019-01-03 14:05:00";435;"2019-01-03 21:20:00"
104;104;"Air Asia";"2019-01-03";"Kolkata";"Banglore";"10:20";"2h 35m";"non-stop";"No info";5620;"2019-01-03 10:20:00";155;"2019-01-03 12:55:00"
105;105;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"7:00";"5h 25m";"1 stop";"No info";26890;"2019-01-03 07:00:00";325;"2019-01-03 12:25:00"
106;106;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:55";"15h 50m";"1 stop";"No info";26890;"2019-01-03 08:55:00";950;"2019-01-04 00:45:00"
107;107;"Vistara";"2019-01-03";"Banglore";"New Delhi";"19:40";"2h 40m";"non-stop";"No info";21730;"2019-01-03 19:40:00";160;"2019-01-03 22:20:00"
108;108;"Air India";"2019-01-03";"Banglore";"New Delhi";"8:50";"38h 35m";"2 stops";"No info";25430;"2019-01-03 08:50:00";2315;"2019-01-04 23:25:00"
109;109;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"17h 35m";"1 stop";"1 Long layover";22270;"2019-01-03 14:05:00";1055;"2019-01-04 07:40:00"
110;110;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"16:55";"16h 5m";"1 stop";"1 Long layover";25735;"2019-01-03 16:55:00";965;"2019-01-04 09:00:00"
111;111;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"20:00";"2h 55m";"non-stop";"No info";14306;"2019-01-03 20:00:00";175;"2019-01-03 22:55:00"
112;112;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"20:35";"14h 50m";"1 stop";"No info";31825;"2019-01-03 20:35:00";890;"2019-01-04 11:25:00"
113;113;"Air India";"2019-01-03";"Chennai";"Kolkata";"11:40";"2h 15m";"non-stop";"No info";19630;"2019-01-03 11:40:00";135;"2019-01-03 13:55:00"
114;114;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"16h 55m";"1 stop";"No info";14069;"2019-01-03 05:50:00";1015;"2019-01-03 22:45:00"
115;115;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:55";"6h 20m";"1 stop";"No info";26890;"2019-01-03 08:55:00";380;"2019-01-03 15:15:00"
116;116;"GoAir";"2019-01-03";"Banglore";"New Delhi";"15:45";"4h 30m";"1 stop";"No info";12314;"2019-01-03 15:45:00";270;"2019-01-03 20:15:00"
117;117;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"11:40";"17h 25m";"1 stop";"No info";22270;"2019-01-03 11:40:00";1045;"2019-01-04 05:05:00"
118;118;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"16:55";"15h 20m";"1 stop";"No info";26890;"2019-01-03 16:55:00";920;"2019-01-04 08:15:00"
119;119;"SpiceJet";"2019-01-03";"Kolkata";"Banglore";"6:55";"2h 40m";"non-stop";"No info";4622;"2019-01-03 06:55:00";160;"2019-01-03 09:35:00"
120;120;"Jet Airways";"2019-01-03";"Mumbai";"Hyderabad";"7:10";"1h 25m";"non-stop";"No info";17501;"2019-01-03 07:10:00";85;"2019-01-03 08:35:00"
121;121;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:00";"5h 15m";"1 stop";"No info";22270;"2019-01-03 08:00:00";315;"2019-01-03 13:15:00"
122;122;"Air India";"2019-01-03";"Banglore";"New Delhi";"17:00";"29h 55m";"2 stops";"No info";14887;"2019-01-03 17:00:00";1795;"2019-01-04 22:55:00"
123;123;"GoAir";"2019-01-03";"Banglore";"New Delhi";"11:40";"2h 55m";"non-stop";"No info";11111;"2019-01-03 11:40:00";175;"2019-01-03 14:35:00"
124;124;"IndiGo";"2019-01-03";"Kolkata";"Banglore";"20:25";"2h 40m";"non-stop";"No info";4778;"2019-01-03 20:25:00";160;"2019-01-03 23:05:00"
125;125;"IndiGo";"2019-01-03";"Mumbai";"Hyderabad";"6:20";"1h 25m";"non-stop";"No info";17501;"2019-01-03 06:20:00";85;"2019-01-03 07:45:00"
126;126;"Air India";"2019-01-03";"Banglore";"New Delhi";"17:00";"6h 10m";"1 stop";"No info";11628;"2019-01-03 17:00:00";370;"2019-01-03 23:10:00"
127;127;"SpiceJet";"2019-01-03";"Kolkata";"Banglore";"9:00";"2h 30m";"non-stop";"No info";5515;"2019-01-03 09:00:00";150;"2019-01-03 11:30:00"
128;128;"Jet Airways";"2019-01-03";"Mumbai";"Hyderabad";"10:20";"1h 30m";"non-stop";"No info";10875;"2019-01-03 10:20:00";90;"2019-01-03 11:50:00"
129;129;"IndiGo";"2019-01-03";"Mumbai";"Hyderabad";"21:20";"1h 25m";"non-stop";"No info";12475;"2019-01-03 21:20:00";85;"2019-01-03 22:45:00"
130;130;"IndiGo";"2019-01-03";"Kolkata";"Banglore";"15:20";"2h 35m";"non-stop";"No info";6565;"2019-01-03 15:20:00";155;"2019-01-03 17:55:00"
131;131;"Air India";"2019-01-03";"Banglore";"New Delhi";"8:50";"15h 5m";"2 stops";"No info";17345;"2019-01-03 08:50:00";905;"2019-01-03 23:55:00"
132;132;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"10h 40m";"1 stop";"No info";26890;"2019-01-03 14:05:00";640;"2019-01-04 00:45:00"
133;133;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"5:45";"12h 40m";"1 stop";"No info";26890;"2019-01-03 05:45:00";760;"2019-01-03 18:25:00"
134;134;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"16:55";"2h 50m";"non-stop";"No info";12649;"2019-01-03 16:55:00";170;"2019-01-03 19:45:00"
135;135;"Vistara";"2019-01-03";"Banglore";"New Delhi";"6:40";"27h 45m";"1 stop";"No info";12371;"2019-01-03 06:40:00";1665;"2019-01-04 10:25:00"
136;136;"IndiGo";"2019-01-03";"Mumbai";"Hyderabad";"12:00";"1h 25m";"non-stop";"No info";12475;"2019-01-03 12:00:00";85;"2019-01-03 13:25:00"
137;137;"Air India";"2019-01-03";"Banglore";"New Delhi";"6:45";"26h 40m";"2 stops";"2 Long layover";26480;"2019-01-03 06:45:00";1600;"2019-01-04 09:25:00"
138;138;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"6h 15m";"1 stop";"No info";26890;"2019-01-03 22:50:00";375;"2019-01-04 05:05:00"
139;139;"Air India";"2019-01-03";"Banglore";"New Delhi";"13:50";"28h 50m";"1 stop";"No info";17198;"2019-01-03 13:50:00";1730;"2019-01-04 18:40:00"
140;140;"Air Asia";"2019-01-03";"Kolkata";"Banglore";"19:35";"2h 30m";"non-stop";"No info";5964;"2019-01-03 19:35:00";150;"2019-01-03 22:05:00"
141;141;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"5:45";"9h 30m";"1 stop";"No info";26890;"2019-01-03 05:45:00";570;"2019-01-03 15:15:00"
142;142;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"5:45";"10h 25m";"1 stop";"No info";26890;"2019-01-03 05:45:00";625;"2019-01-03 16:10:00"
143;143;"Air India";"2019-01-03";"Mumbai";"Hyderabad";"19:30";"1h 15m";"non-stop";"No info";15385;"2019-01-03 19:30:00";75;"2019-01-03 20:45:00"
144;144;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:55";"7h 15m";"1 stop";"No info";26890;"2019-01-03 08:55:00";435;"2019-01-03 16:10:00"
145;145;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:55";"9h 30m";"1 stop";"No info";26890;"2019-01-03 08:55:00";570;"2019-01-03 18:25:00"
146;146;"Multiple carriers";"2019-01-03";"Delhi";"Cochin";"0:20";"13h";"1 stop";"No info";29528;"2019-01-03 00:20:00";780;"2019-01-03 13:20:00"
147;147;"IndiGo";"2019-01-03";"Mumbai";"Hyderabad";"9:10";"1h 30m";"non-stop";"No info";13999;"2019-01-03 09:10:00";90;"2019-01-03 10:40:00"
148;148;"Multiple carriers";"2019-01-03";"Delhi";"Cochin";"14:35";"7h 45m";"1 stop";"No info";14762;"2019-01-03 14:35:00";465;"2019-01-03 22:20:00"
149;149;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"16:55";"4h 55m";"1 stop";"No Info";8153;"2019-01-03 16:55:00";295;"2019-01-03 21:50:00"
150;150;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"19h 25m";"1 stop";"No info";25735;"2019-01-03 14:05:00";1165;"2019-01-04 09:30:00"
151;151;"IndiGo";"2019-01-03";"Kolkata";"Banglore";"22:10";"2h 45m";"non-stop";"No info";4778;"2019-01-03 22:10:00";165;"2019-01-04 00:55:00"
152;152;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"21h 30m";"1 stop";"No info";25735;"2019-01-03 22:50:00";1290;"2019-01-04 20:20:00"
153;153;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"6h 15m";"1 stop";"No info";27992;"2019-01-03 14:05:00";375;"2019-01-03 20:20:00"
154;154;"Vistara Premium economy";"2019-01-03";"Chennai";"Kolkata";"7:05";"2h 15m";"non-stop";"No info";9125;"2019-01-03 07:05:00";135;"2019-01-03 09:20:00"
155;155;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"18h 55m";"1 stop";"No info";20800;"2019-01-03 14:05:00";1135;"2019-01-04 09:00:00"
