index,Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price
81,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,8h 10m,1 stop,No info,22270
82,IndiGo,2019-01-03,Banglore,New Delhi,18:55,2h 50m,non-stop,No info,14306
83,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,21h 20m,1 stop,No info,20800
84,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,5h 5m,1 stop,No info,36235
85,IndiGo,2019-01-03,Banglore,New Delhi,16:15,4h 20m,1 stop,No Info,7917
86,Jet Airways,2019-01-03,Banglore,New Delhi,5:45,14h 35m,1 stop,No info,27992
87,Jet Airways,2019-01-03,Banglore,New Delhi,5:45,15h 35m,1 stop,No info,27992
88,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,11h 35m,1 stop,1 Long layover,31825
89,Air India,2019-01-03,Banglore,New Delhi,17:00,15h 50m,1 stop,1 Long layover,10981
90,Air India,2019-01-03,Banglore,New Delhi,9:30,26h 35m,1 stop,No info,12704
91,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,24h 15m,1 stop,No info,22270
92,Air India,2019-01-03,Banglore,New Delhi,11:05,22h 10m,1 stop,No info,13439
93,SpiceJet,2019-01-03,Banglore,New Delhi,10:20,7h 55m,1 stop,No info,23267
94,IndiGo,2019-01-03,Delhi,Cochin,4:55,16h 25m,2 stops,No info,10278
95,IndiGo,2019-01-03,Mumbai,Hyderabad,2:30,1h 30m,non-stop,No info,16000
96,Jet Airways,2019-01-03,Banglore,New Delhi,16:55,6h 5m,1 stop,No info,54826
97,SpiceJet,2019-01-03,Chennai,Kolkata,9:30,2h 35m,non-stop,No info,7298
98,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,24h 10m,1 stop,No info,25735
99,Air India,2019-01-03,Banglore,New Delhi,22:00,15h 20m,1 stop,No info,21130
100,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,10h 25m,1 stop,No info,26890
101,IndiGo,2019-01-03,Chennai,Kolkata,14:40,2h 25m,non-stop,No info,7295
102,SpiceJet,2019-01-03,Banglore,New Delhi,9:35,2h 55m,non-stop,No info,11690
103,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,7h 15m,1 stop,No info,36235
104,Air Asia,2019-01-03,Kolkata,Banglore,10:20,2h 35m,non-stop,No info,5620
105,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,5h 25m,1 stop,No info,26890
106,Jet Airways,2019-01-03,Banglore,New Delhi,8:55,15h 50m,1 stop,No info,26890
107,Vistara,2019-01-03,Banglore,New Delhi,19:40,2h 40m,non-stop,No info,21730
108,Air India,2019-01-03,Banglore,New Delhi,8:50,38h 35m,2 stops,No info,25430
109,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,17h 35m,1 stop,1 Long layover,22270
110,Jet Airways,2019-01-03,Banglore,New Delhi,16:55,16h 5m,1 stop,1 Long layover,25735
111,IndiGo,2019-01-03,Banglore,New Delhi,20:00,2h 55m,non-stop,No info,14306
112,Jet Airways,2019-01-03,Banglore,New Delhi,20:35,14h 50m,1 stop,No info,31825
113,Air India,2019-01-03,Chennai,Kolkata,11:40,2h 15m,non-stop,No info,19630
114,Air India,2019-01-03,Banglore,New Delhi,5:50,16h 55m,1 stop,No info,14069
115,Jet Airways,2019-01-03,Banglore,New Delhi,8:55,6h 20m,1 stop,No info,26890
116,GoAir,2019-01-03,Banglore,New Delhi,15:45,4h 30m,1 stop,No info,12314
117,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,17h 25m,1 stop,No info,22270
118,Jet Airways,2019-01-03,Banglore,New Delhi,16:55,15h 20m,1 stop,No info,26890
119,SpiceJet,2019-01-03,Kolkata,Banglore,6:55,2h 40m,non-stop,No info,4622
120,Jet Airways,2019-01-03,Mumbai,Hyderabad,7:10,1h 25m,non-stop,No info,17501
121,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,5h 15m,1 stop,No info,22270
122,Air India,2019-01-03,Banglore,New Delhi,17:00,29h 55m,2 stops,No info,14887
123,GoAir,2019-01-03,Banglore,New Delhi,11:40,2h 55m,non-stop,No info,11111
124,IndiGo,2019-01-03,Kolkata,Banglore,20:25,2h 40m,non-stop,No info,4778
125,IndiGo,2019-01-03,Mumbai,Hyderabad,6:20,1h 25m,non-stop,No info,17501
126,Air India,2019-01-03,Banglore,New Delhi,17:00,6h 10m,1 stop,No info,11628
127,SpiceJet,2019-01-03,Kolkata,Banglore,9:00,2h 30m,non-stop,No info,5515
128,Jet Airways,2019-01-03,Mumbai,Hyderabad,10:20,1h 30m,non-stop,No info,10875
129,IndiGo,2019-01-03,Mumbai,Hyderabad,21:20,1h 25m,non-stop,No info,12475
130,IndiGo,2019-01-03,Kolkata,Banglore,15:20,2h 35m,non-stop,No info,6565
131,Air India,2019-01-03,Banglore,New Delhi,8:50,15h 5m,2 stops,No info,17345
132,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,10h 40m,1 stop,No info,26890
133,Jet Airways,2019-01-03,Banglore,New Delhi,5:45,12h 40m,1 stop,No info,26890
134,IndiGo,2019-01-03,Banglore,New Delhi,16:55,2h 50m,non-stop,No info,12649
135,Vistara,2019-01-03,Banglore,New Delhi,6:40,27h 45m,1 stop,No info,12371
136,IndiGo,2019-01-03,Mumbai,Hyderabad,12:00,1h 25m,non-stop,No info,12475
137,Air India,2019-01-03,Banglore,New Delhi,6:45,26h 40m,2 stops,2 Long layover,26480
138,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,6h 15m,1 stop,No info,26890
139,Air India,2019-01-03,Banglore,New Delhi,13:50,28h 50m,1 stop,No info,17198
140,Air Asia,2019-01-03,Kolkata,Banglore,19:35,2h 30m,non-stop,No info,5964
141,Jet Airways,2019-01-03,Banglore,New Delhi,5:45,9h 30m,1 stop,No info,26890
142,Jet Airways,2019-01-03,Banglore,New Delhi,5:45,10h 25m,1 stop,No info,26890
143,Air India,2019-01-03,Mumbai,Hyderabad,19:30,1h 15m,non-stop,No info,15385
144,Jet Airways,2019-01-03,Banglore,New Delhi,8:55,7h 15m,1 stop,No info,26890
145,Jet Airways,2019-01-03,Banglore,New Delhi,8:55,9h 30m,1 stop,No info,26890
146,Multiple carriers,2019-01-03,Delhi,Cochin,0:20,13h,1 stop,No info,29528
147,IndiGo,2019-01-03,Mumbai,Hyderabad,9:10,1h 30m,non-stop,No info,13999
148,Multiple carriers,2019-01-03,Delhi,Cochin,14:35,7h 45m,1 stop,No info,14762
149,IndiGo,2019-01-03,Banglore,New Delhi,16:55,4h 55m,1 stop,No Info,8153
150,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,19h 25m,1 stop,No info,25735
151,IndiGo,2019-01-03,Kolkata,Banglore,22:10,2h 45m,non-stop,No info,4778
152,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,21h 30m,1 stop,No info,25735
153,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,6h 15m,1 stop,No info,27992
154,Vistara Premium economy,2019-01-03,Chennai,Kolkata,7:05,2h 15m,non-stop,No info,9125
155,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,18h 55m,1 stop,No info,20800
156,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,11h 25m,1 stop,No info,26890
157,Air India,2019-01-03,Mumbai,Hyderabad,15:00,1h 25m,non-stop,No info,6092
158,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,25h 55m,1 stop,No info,26890
159,IndiGo,2019-01-03,Banglore,New Delhi,16:50,4h 45m,1 stop,No info,13302
160,SpiceJet,2019-01-03,Mumbai,Hyderabad,5:45,1h 20m,non-stop,No info,12475
161,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,21h 5m,1 stop,No info,22270
162,Jet Airways Business,2019-01-03,Banglore,New Delhi,5:45,5h 40m,1 stop,Business class,79512
163,Multiple carriers,2019-01-03,Delhi,Cochin,0:20,15h 10m,1 stop,No info,23170
164,Jet Airways,2019-01-03,Banglore,New Delhi,5:45,13h 25m,1 stop,No info,27992
165,IndiGo,2019-01-03,Kolkata,Banglore,21:25,2h 40m,non-stop,No info,4778
166,Air Asia,2019-01-03,Banglore,New Delhi,23:25,2h 45m,non-stop,Red-eye flight,10873
167,SpiceJet,2019-01-03,Chennai,Kolkata,17:45,2h 20m,non-stop,No info,7718
168,Air India,2019-01-03,Banglore,New Delhi,22:00,25h 20m,1 stop,Change airports,14305
169,IndiGo,2019-01-03,Banglore,New Delhi,13:40,4h 55m,1 stop,No info,8707
170,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,20h 20m,1 stop,No info,25735
171,Jet Airways,2019-01-03,Banglore,New Delhi,16:55,7h 50m,1 stop,No info,26890
172,Jet Airways,2019-01-03,Banglore,New Delhi,5:50,6h 30m,1 stop,Business class,28097
173,Air India,2019-01-03,Banglore,New Delhi,11:05,8h 45m,1 stop,1 Long layover,14594
174,Air India,2019-01-03,Kolkata,Banglore,14:15,2h 30m,non-stop,No info,6535
175,IndiGo,2019-01-03,Banglore,New Delhi,8:30,3h,non-stop,No info,10067
176,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,21h 20m,1 stop,No info,20800
177,IndiGo,2019-01-03,Kolkata,Banglore,9:35,2h 45m,non-stop,No info,6565
178,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,8h 15m,1 stop,No info,26890
179,Jet Airways,2019-01-03,Banglore,New Delhi,8:55,12h 25m,1 stop,1 Long layover,27992
180,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,9h 40m,1 stop,1 Long layover,27992
181,IndiGo,2019-01-03,Banglore,New Delhi,18:25,2h 55m,non-stop,No info,12649
182,Jet Airways,2019-01-03,Banglore,New Delhi,18:40,14h 20m,1 stop,No info,31825
183,Air India,2019-01-03,Banglore,New Delhi,8:50,14h 35m,2 stops,1 Short layover,26743
184,SpiceJet,2019-01-03,Mumbai,Hyderabad,22:45,1h 25m,non-stop,No info,11005
185,IndiGo,2019-01-03,Banglore,New Delhi,7:30,4h 50m,1 stop,No info,8110
186,Jet Airways Business,2019-01-03,Banglore,New Delhi,9:45,4h 40m,1 stop,Business class,57209
187,Air India,2019-01-03,Delhi,Cochin,23:00,20h 15m,1 stop,No info,27430
188,IndiGo,2019-01-03,Banglore,New Delhi,21:20,2h 55m,non-stop,No info,12649
189,Multiple carriers,2019-01-03,Delhi,Cochin,19:00,6h 35m,1 stop,No info,23533
190,Air India,2019-01-03,Banglore,New Delhi,6:45,28h 25m,2 stops,No info,20999
191,Jet Airways,2019-01-03,Banglore,New Delhi,18:40,6h 5m,1 stop,No info,35185
192,IndiGo,2019-01-03,Banglore,New Delhi,12:10,4h 55m,1 stop,No info,9694
193,Air India,2019-01-03,Banglore,New Delhi,11:50,12h 5m,1 stop,Change airports,26092
194,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,22h 5m,1 stop,No info,26890
195,Air India,2019-01-03,Banglore,New Delhi,11:05,11h 40m,1 stop,No info,14069
196,IndiGo,2019-01-03,Chennai,Kolkata,5:15,2h 20m,non-stop,No info,7295
197,Air India,2019-01-03,Banglore,New Delhi,8:50,26h 20m,2 stops,No info,19372
198,IndiGo,2019-01-03,Banglore,New Delhi,10:05,2h 55m,non-stop,No info,10067
199,Jet Airways,2019-01-04,Kolkata,Banglore,20:25,18h 40m,1 stop,No info,11467
200,SpiceJet,2019-01-04,Kolkata,Banglore,22:20,2h 20m,non-stop,No info,3873
201,IndiGo,2019-01-04,Mumbai,Hyderabad,9:10,1h 30m,non-stop,No info,3342
202,Vistara,2019-01-04,Banglore,Delhi,9:45,2h 50m,non-stop,No info,5403
203,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,23h 20m,1 stop,In-flight meal not included,7064
204,Air Asia,2019-01-04,Kolkata,Banglore,7:35,11h 50m,1 stop,No info,5192
205,Air India,2019-01-04,Kolkata,Banglore,5:50,17h 25m,2 stops,No info,11516
206,Air India,2019-01-04,Kolkata,Banglore,10:00,19h 25m,2 stops,No info,12639
207,Jet Airways,2019-01-04,Kolkata,Banglore,9:35,9h 35m,1 stop,In-flight meal not included,9314
208,Air India,2019-01-04,Banglore,Delhi,21:05,2h 50m,non-stop,No info,4441
209,Air India,2019-01-04,Kolkata,Banglore,10:00,24h 30m,3 stops,No info,12954
210,IndiGo,2019-01-04,Banglore,Delhi,0:30,2h 55m,non-stop,No info,4423
211,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,21h 25m,1 stop,In-flight meal not included,7064
212,Jet Airways,2019-01-04,Banglore,Delhi,15:15,2h 55m,non-stop,In-flight meal not included,4544
213,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,24h 55m,1 stop,In-flight meal not included,7064
214,Jet Airways,2019-01-04,Kolkata,Banglore,6:30,14h 15m,1 stop,No info,12681
215,Air India,2019-01-04,Kolkata,Banglore,7:00,22h 25m,2 stops,No info,12219
216,Jet Airways,2019-01-04,Banglore,Delhi,6:00,2h 45m,non-stop,No info,7229
217,Vistara,2019-01-04,Banglore,Delhi,7:00,2h 40m,non-stop,No info,5403
218,Jet Airways,2019-01-04,Kolkata,Banglore,6:30,13h 20m,1 stop,No info,12681
219,Jet Airways,2019-01-04,Banglore,Delhi,11:10,2h 55m,non-stop,No info,7229
220,IndiGo,2019-01-04,Kolkata,Banglore,14:25,2h 30m,non-stop,No info,4174
221,Vistara,2019-01-04,Kolkata,Banglore,17:00,17h 45m,1 stop,No info,9187
222,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,23h 20m,1 stop,No info,12681
223,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,28h 40m,1 stop,No info,12681
224,Jet Airways,2019-01-04,Banglore,Delhi,17:45,3h,non-stop,No info,7229
225,SpiceJet,2019-01-04,Delhi,Cochin,8:45,4h 30m,1 stop,No info,4812
226,Jet Airways,2019-01-04,Delhi,Cochin,17:30,19h 5m,1 stop,In-flight meal not included,5406
227,Air India,2019-01-04,Kolkata,Banglore,20:30,12h 25m,1 stop,No info,7893
228,Jet Airways,2019-01-04,Kolkata,Banglore,20:00,16h,1 stop,No info,12681
229,Vistara,2019-01-04,Kolkata,Banglore,7:10,16h 15m,1 stop,No info,7927
230,Jet Airways,2019-01-04,Kolkata,Banglore,14:05,9h 30m,1 stop,No info,13364
231,GoAir,2019-01-04,Delhi,Cochin,10:35,9h,1 stop,No info,5281
232,SpiceJet,2019-01-04,Mumbai,Hyderabad,5:45,1h 30m,non-stop,No check-in baggage included,1965
233,Jet Airways,2019-01-04,Kolkata,Banglore,21:10,11h 5m,1 stop,In-flight meal not included,8849
234,Air India,2019-01-04,Kolkata,Banglore,19:00,14h 50m,1 stop,No info,4227
235,Air India,2019-01-04,Kolkata,Banglore,10:00,15h 20m,2 stops,No info,10408
236,Jet Airways,2019-01-04,Delhi,Cochin,16:00,20h 35m,1 stop,In-flight meal not included,5406
237,IndiGo,2019-01-04,Delhi,Cochin,7:35,4h 35m,1 stop,No info,5073
238,SpiceJet,2019-01-04,Kolkata,Banglore,6:55,2h 35m,non-stop,No info,3873
239,Air India,2019-01-04,Kolkata,Banglore,16:45,30h 30m,3 stops,No info,8607
240,Jet Airways,2019-01-04,Kolkata,Banglore,9:35,8h 25m,1 stop,No info,11467
241,Jet Airways,2019-01-04,Kolkata,Banglore,21:10,7h 30m,1 stop,No info,13364
242,Jet Airways,2019-01-04,Kolkata,Banglore,16:30,6h 5m,1 stop,No info,12681
243,Air India,2019-01-04,Kolkata,Banglore,20:30,26h 45m,1 stop,No info,7211
244,Jet Airways,2019-01-04,Banglore,Delhi,18:55,3h 5m,non-stop,No info,7229
245,Air India,2019-01-04,Kolkata,Banglore,16:50,15h 5m,1 stop,No info,7893
246,Jet Airways,2019-01-04,Kolkata,Banglore,20:00,20h 20m,1 stop,No info,12681
247,SpiceJet,2019-01-04,Kolkata,Banglore,9:00,2h 25m,non-stop,No info,3873
248,Jet Airways,2019-01-04,Kolkata,Banglore,20:25,13h 20m,1 stop,No info,14151
249,Jet Airways,2019-01-04,Banglore,Delhi,19:50,3h,non-stop,No info,7229
250,Jet Airways,2019-01-04,Kolkata,Banglore,14:05,5h 45m,1 stop,No info,13364
251,Jet Airways,2019-01-04,Mumbai,Hyderabad,2:55,1h 25m,non-stop,In-flight meal not included,2228
252,Jet Airways,2019-01-04,Mumbai,Hyderabad,7:05,1h 25m,non-stop,No info,8040
253,Air Asia,2019-01-04,Kolkata,Banglore,22:40,12h,1 stop,No info,5192
254,IndiGo,2019-01-04,Delhi,Cochin,6:50,5h 20m,1 stop,No info,5298
255,Vistara,2019-01-04,Kolkata,Banglore,7:10,25h 55m,1 stop,No info,7980
256,IndiGo,2019-01-04,Kolkata,Banglore,9:35,2h 45m,non-stop,No info,4174
257,Air India,2019-01-04,Banglore,Delhi,17:00,2h 45m,non-stop,No info,5176
258,Jet Airways,2019-01-04,Kolkata,Banglore,21:10,12h 10m,1 stop,No info,13364
259,Jet Airways,2019-01-04,Kolkata,Banglore,20:00,16h,1 stop,In-flight meal not included,7064
260,IndiGo,2019-01-04,Kolkata,Banglore,15:10,5h 20m,1 stop,No info,8567
261,Air India,2019-01-04,Kolkata,Banglore,19:00,9h 40m,1 stop,No info,4227
262,SpiceJet,2019-01-04,Kolkata,Banglore,15:55,5h 30m,1 stop,No info,7646
263,GoAir,2019-01-04,Delhi,Cochin,7:25,6h 10m,1 stop,No info,4563
264,Jet Airways,2019-01-04,Kolkata,Banglore,6:30,9h 50m,1 stop,No info,12996
265,Jet Airways,2019-01-04,Kolkata,Banglore,8:25,9h 50m,1 stop,In-flight meal not included,7064
266,IndiGo,2019-01-04,Kolkata,Banglore,17:35,4h 40m,1 stop,No info,5699
267,IndiGo,2019-01-04,Banglore,Delhi,16:55,3h,non-stop,No info,4823
268,IndiGo,2019-01-04,Kolkata,Banglore,11:30,2h 35m,non-stop,No info,4174
269,Jet Airways,2019-01-04,Kolkata,Banglore,20:25,14h 30m,1 stop,No info,11467
270,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,27h 40m,1 stop,In-flight meal not included,7064
271,Jet Airways,2019-01-04,Kolkata,Banglore,20:00,23h 50m,1 stop,In-flight meal not included,7064
272,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,21h 25m,1 stop,No info,12681
273,Vistara,2019-01-04,Kolkata,Banglore,17:00,6h 25m,1 stop,No info,8610
274,Vistara,2019-01-04,Kolkata,Banglore,17:00,16h 5m,1 stop,No info,8662
275,Air India,2019-01-04,Kolkata,Banglore,16:45,16h 10m,2 stops,No info,9920
276,Air India,2019-01-04,Kolkata,Banglore,16:45,30h 30m,2 stops,No info,9237
277,Jet Airways,2019-01-04,Kolkata,Banglore,6:30,25h 45m,1 stop,In-flight meal not included,7064
278,Air Asia,2019-01-04,Kolkata,Banglore,6:50,3h 40m,1 stop,No info,5162
279,SpiceJet,2019-01-04,Kolkata,Banglore,9:00,2h 25m,non-stop,No check-in baggage included,3841
280,SpiceJet,2019-01-04,Banglore,Delhi,9:30,2h 50m,non-stop,No info,3971
281,Air India,2019-01-04,Kolkata,Banglore,16:50,25h 40m,1 stop,No info,7893
282,IndiGo,2019-01-04,Kolkata,Banglore,17:15,2h 35m,non-stop,No info,4174
283,Jet Airways,2019-01-04,Kolkata,Banglore,18:55,9h 45m,1 stop,No info,12681
284,IndiGo,2019-01-04,Delhi,Cochin,2:00,5h 25m,1 stop,No info,5164
285,SpiceJet,2019-01-04,Banglore,Delhi,5:55,2h 40m,non-stop,No check-in baggage included,3919
286,Air India,2019-01-04,Kolkata,Banglore,17:30,15h 25m,1 stop,No info,7893
287,Vistara,2019-01-04,Kolkata,Banglore,20:20,27h 5m,1 stop,No info,7927
288,Jet Airways,2019-01-04,Kolkata,Banglore,9:35,11h 30m,1 stop,In-flight meal not included,8066
289,IndiGo,2019-01-04,Kolkata,Banglore,20:20,2h 35m,non-stop,No info,4488
290,Jet Airways,2019-01-04,Kolkata,Banglore,16:30,27h 20m,1 stop,In-flight meal not included,7064
